ingredient_id,name,chemical_formula,weight_in_grams,cost_per_gram,provider_id,generation_date,batch_number
198,Aspartic Acid,C4H7NO4S2,133.2,9,62,7-May-24,1
199,Arginine,C6H14N4O2,174.2,11,72,7-May-24,1
200,Alanine,C3H7NO3,75.1,6.5,91,7-May-24,1
201,Phenylalanine,C9H11NO2,147.2,10,48,7-May-24,1
202,Proline,C5H9NO3,115.2,8,40,7-May-24,1
203,Serine,C3H7NO3,91.1,7,36,7-May-24,1
204,Threonine,C4H9NO3,117.2,8.5,6,7-May-24,1
205,Valine,C5H11NO2,117.2,8.5,83,7-May-24,1
206,Methionine,C5H11NO2S,155.2,10,29,7-May-24,1
207,Leucine,C5H11NO2,117.2,8.5,105,7-May-24,1
208,Lysine,C6H14N2O2,146.2,9.5,107,7-May-24,1
209,Tyrosine,C6H9NO3,147.2,10,78,7-May-24,1
210,Tryptophan,C5H7NO2,163.2,11,5,7-May-24,1
211,Histidine,C6H9N3O2,153.2,10.5,21,7-May-24,1
212,Isoleucine,C5H11NO2,147.2,8.5,61,7-May-24,1
213,Glutamic Acid,C5H9NO4S2,133.2,9,82,7-May-24,1
214,Aspartic Acid,C4H7NO4S2,133.2,9,8,7-May-24,1
215,Arginine,C6H14N4O2,174.2,11,77,7-May-24,1
216,Alanine,C3H7NO3,75.1,6.5,41,7-May-24,1
217,Phenylalanine,C9H11NO2,147.2,10,82,7-May-24,1
218,Tryptophan,C5H7NO2,163.2,11,56,7-May-24,1
219,Valine,C5H11NO2,117.2,8.5,98,7-May-24,1
220,Leucine,C5H11NO2,117.2,8.5,1,7-May-24,1
221,Isoleucine,C5H11NO2,147.2,8.5,82,7-May-24,1
222,Lysine,C6H14N2O2,146.2,9.5,72,7-May-24,1
223,Methionine,C5H11NO2S,155.2,10,96,7-May-24,1
224,Threonine,C4H9NO3,117.2,8.5,46,7-May-24,1
225,Serine,C3H7NO3,91.1,7,43,7-May-24,1
226,Proline,C5H9NO3,115.2,8,84,7-May-24,1
227,Histidine,C6H9N3O2,153.2,10.5,63,7-May-24,1
228,Glutamic Acid,C5H9NO4S2,133.2,9,20,7-May-24,1
229,Aspartic Acid,C4H7NO4S2,133.2,9,31,7-May-24,1
230,Arginine,C6H14N4O2,174.2,11,12,7-May-24,1
231,Methionine,C5H11NO2S,155.2,10,108,7-May-24,1
232,Tyrosine,C6H9NO3,147.2,10,101,7-May-24,1
233,Phenylalanine,C9H11NO2,147.2,10,55,7-May-24,1
234,Alanine,C3H7NO3,75.1,6.5,85,7-May-24,1
235,Leucine,C5H11NO2,117.2,8.5,88,7-May-24,1
236,Isoleucine,C5H11NO2,147.2,8.5,106,7-May-24,1
237,Lysine,C6H14N2O2,146.2,9.5,82,7-May-24,1
238,Valine,C5H11NO2,117.2,8.5,19,7-May-24,1
239,Threonine,C4H9NO3,117.2,8.5,31,7-May-24,1
240,Serine,C3H7NO3,91.1,7,68,7-May-24,1
241,Glutamic Acid,C5H9NO4S2,133.2,9,98,7-May-24,1
242,Aspartic Acid,C4H7NO4S2,133.2,9,47,7-May-24,1
243,Arginine,C6H14N4O2,174.2,11,17,7-May-24,1
244,Methionine,C5H11NO2S,155.2,10,13,7-May-24,1
245,Lysine,C6H14N2O2,146.2,9.5,13,7-May-24,1
246,Valine,C5H11NO2,117.2,8.5,65,7-May-24,1
247,Threonine,C4H9NO3,117.2,8.5,14,7-May-24,1
248,Serine,C3H7NO3,91.1,7,45,7-May-24,1
249,Proline,C5H9NO3,115.2,8,110,7-May-24,1
250,Histidine,C6H9N3O2,153.2,10.5,72,7-May-24,1
251,Phenylalanine,C9H11NO2,147.2,10,31,7-May-24,1
252,Tryptophan,C5H7NO2,163.2,11,87,7-May-24,1
253,Valine,C5H11NO2,117.2,8.5,1,7-May-24,1
254,Leucine,C5H11NO2,117.2,8.5,74,7-May-24,1
255,Isoleucine,C5H11NO2,147.2,8.5,11,7-May-24,1
256,Lysine,C6H14N2O2,146.2,9.5,61,7-May-24,1
257,Methionine,C5H11NO2S,155.2,10,11,7-May-24,1
258,Threonine,C4H9NO3,117.2,8.5,15,7-May-24,1
259,Serine,C3H7NO3,91.1,7,85,7-May-24,1
260,Proline,C5H9NO3,115.2,8,7,7-May-24,1
261,Histidine,C6H9N3O2,153.2,10.5,86,7-May-24,1
262,Glutamic Acid,C5H9NO4S2,133.2,9,101,7-May-24,1
263,Aspartic Acid,C4H7NO4S2,133.2,9,49,7-May-24,1
264,Arginine,C6H14N4O2,174.2,11,76,7-May-24,1
265,Methionine,C5H11NO2S,155.2,10,23,7-May-24,1
266,Lysine,C6H14N2O2,146.2,9.5,34,7-May-24,1
267,Valine,C5H11NO2,117.2,8.5,79,7-May-24,1
268,Threonine,C4H9NO3,117.2,8.5,54,7-May-24,1
269,Serine,C3H7NO3,91.1,7,1,7-May-24,1
270,Proline,C5H9NO3,115.2,8,110,7-May-24,1
271,Histidine,C6H9N3O2,153.2,10.5,58,7-May-24,1
272,Glutamic Acid,C5H9NO4S2,133.2,9,106,7-May-24,1
273,Aspartic Acid,C4H7NO4S2,133.2,9,34,7-May-24,1
274,Arginine,C6H14N4O2,174.2,11,87,7-May-24,1
275,Methionine,C5H11NO2S,155.2,10,24,7-May-24,1
276,Lysine,C6H14N2O2,146.2,9.5,67,7-May-24,1
277,Valine,C5H11NO2,117.2,8.5,69,7-May-24,1
278,Threonine,C4H9NO3,117.2,8.5,94,7-May-24,1
279,Serine,C3H7NO3,91.1,7,100,7-May-24,1
280,Proline,C5H9NO3,115.2,8,23,7-May-24,1
281,Histidine,C6H9N3O2,153.2,10.5,79,7-May-24,1
282,Glutamic Acid,C5H9NO4S2,133.2,9,9,7-May-24,1
283,Aspartic Acid,C4H7NO4S2,133.2,9,56,7-May-24,1
284,Arginine,C6H14N4O2,174.2,11,73,7-May-24,1
285,Methionine,C5H11NO2S,155.2,10,79,7-May-24,1
286,Lysine,C6H14N2O2,146.2,9.5,32,7-May-24,1
287,Valine,C5H11NO2,117.2,8.5,25,7-May-24,1
288,Threonine,C4H9NO3,117.2,8.5,41,7-May-24,1
289,Serine,C3H7NO3,91.1,7,46,7-May-24,1
290,Proline,C5H9NO3,115.2,8,108,7-May-24,1
291,Histidine,C6H9N3O2,153.2,10.5,53,7-May-24,1
292,Glutamic Acid,C5H9NO4S2,133.2,9,6,7-May-24,1
293,Aspartic Acid,C4H7NO4S2,133.2,9,1,7-May-24,1
294,Arginine,C6H14N4O2,174.2,11,97,7-May-24,1
295,Methionine,C5H11NO2S,155.2,10,99,7-May-24,1
296,Lysine,C6H14N2O2,146.2,9.5,44,7-May-24,1
297,Valine,C5H11NO2,117.2,8.5,32,7-May-24,1
298,Threonine,C4H9NO3,117.2,8.5,78,7-May-24,1
299,Serine,C3H7NO3,91.1,7,17,7-May-24,1
300,Proline,C5H9NO3,115.2,8,9,7-May-24,1
301,Histidine,C6H9N3O2,153.2,10.5,2,7-May-24,1
302,Glutamic Acid,C5H9NO4S2,133.2,9,66,7-May-24,1
303,Aspartic Acid,C4H7NO4S2,133.2,9,52,7-May-24,1
304,Arginine,C6H14N4O2,174.2,11,9,7-May-24,1
305,Methionine,C5H11NO2S,155.2,10,49,7-May-24,1
306,Lysine,C6H14N2O2,146.2,9.5,29,7-May-24,1
307,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,41,7-May-24,1
308,N-(5-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,75,7-May-24,1
309,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,41,7-May-24,1
310,3-(Dimethylamino)-1-piperidinecarboxylic acid ethyl ester,C9H17NO2COOE,169.2,12,107,7-May-24,1
311,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,5,7-May-24,1
312,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,100,7-May-24,1
313,N-(3-Methoxy-4-nitrophenyl)acetamide,C9H8N2O3,173.2,12,73,7-May-24,1
314,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,10,7-May-24,1
315,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,26,7-May-24,1
316,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,33,7-May-24,1
317,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,41,7-May-24,1
318,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,81,7-May-24,1
319,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,95,7-May-24,1
320,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,97,7-May-24,1
321,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,70,7-May-24,1
322,N-(5-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,105,7-May-24,1
323,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,39,7-May-24,1
324,3-(Dimethylamino)-1-piperidinecarboxylic acid ethyl ester,C9H17NO2COOE,169.2,12,13,7-May-24,1
325,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,79,7-May-24,1
326,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,9,7-May-24,1
327,N-(3-Methoxy-4-nitrophenyl)acetamide,C9H8N2O3,173.2,12,88,7-May-24,1
328,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,8,7-May-24,1
329,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,45,7-May-24,1
330,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,98,7-May-24,1
331,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,68,7-May-24,1
332,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,38,7-May-24,1
333,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,42,7-May-24,1
334,N-(5-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,23,7-May-24,1
335,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,19,7-May-24,1
336,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,101,7-May-24,1
337,N-(3-Methoxy-4-nitrophenyl)acetamide,C9H8N2O3,173.2,12,80,7-May-24,1
338,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,57,7-May-24,1
339,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,88,7-May-24,1
340,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,77,7-May-24,1
341,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,63,7-May-24,1
342,N-(5-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,106,7-May-24,1
343,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,92,7-May-24,1
344,3-(Dimethylamino)-1-piperidinecarboxylic acid ethyl ester,C9H17NO2COOE,169.2,12,79,7-May-24,1
345,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,48,7-May-24,1
346,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,69,7-May-24,1
347,N-(3-Methoxy-4-nitrophenyl)acetamide,C9H8N2O3,173.2,12,72,7-May-24,1
348,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,64,7-May-24,1
349,"1-Piperidinecarboxylic acid, N-methyl-N-(n-propyl)aminomethyl ester",C10H19NO2COO,180.2,12.5,83,7-May-24,1
350,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,59,7-May-24,1
351,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,98,7-May-24,1
352,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,6,7-May-24,1
353,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,90,7-May-24,1
354,N-(5-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,104,7-May-24,1
355,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,74,7-May-24,1
356,3-(Dimethylamino)-1-piperidinecarboxylic acid ethyl ester,C9H17NO2COOE,169.2,12,101,7-May-24,1
357,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,47,7-May-24,1
358,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,102,7-May-24,1
359,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,60,7-May-24,1
360,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,24,7-May-24,1
361,3-(Trimethylsilyl)-1-piperidinecarboxylic acid,C6H15NO2COOH,159.2,11,54,7-May-24,1
362,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,97,7-May-24,1
363,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,3,7-May-24,1
364,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,74,7-May-24,1
365,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,67,7-May-24,1
366,3-(Dimethylamino)-1-piperidinecarboxylic acid ethyl ester,C9H17NO2COOE,169.2,12,54,7-May-24,1
367,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,86,7-May-24,1
368,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,69,7-May-24,1
369,3-(Trimethylsilyl)-1-piperidinecarboxylic acid,C6H15NO2COOH,159.2,11,55,7-May-24,1
370,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,103,7-May-24,1
371,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,62,7-May-24,1
372,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,58,7-May-24,1
373,β-Phenylcyclohexanone 3-sulfonic acid,C9H7SO3CHC6H5,173.2,11,7,7-May-24,1
374,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,99,7-May-24,1
375,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,36,7-May-24,1
376,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,90,7-May-24,1
377,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,85,7-May-24,1
378,3-(Trimethylsilyl)-1-piperidinecarboxylic acid,C6H15NO2COOH,159.2,11,84,7-May-24,1
379,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,91,7-May-24,1
380,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,62,7-May-24,1
381,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,107,7-May-24,1
382,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,41,7-May-24,1
383,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,86,7-May-24,1
384,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,13,7-May-24,1
385,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,17,7-May-24,1
386,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,101,7-May-24,1
387,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,76,7-May-24,1
388,3-(Trimethylsilyl)-1-piperidinecarboxylic acid,C6H15NO2COOH,159.2,11,37,7-May-24,1
389,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,27,7-May-24,1
390,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,99,7-May-24,1
391,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,13,7-May-24,1
392,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,55,7-May-24,1
393,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,11,7-May-24,1
394,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,66,7-May-24,1
395,N-(4-Chloro-3-methoxyphenyl)acetamide,C9H9ClNO2,165.2,11,93,7-May-24,1
396,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,46,7-May-24,1
397,3-(Trimethylsilyl)-1-piperidinecarboxylic acid,C6H15NO2COOH,159.2,11,95,7-May-24,1
398,β-Naphthol-1-sulfonamide,C10H7NO2S,172.2,11.5,2,7-May-24,1
399,4-(Methylamino)-1-piperidinecarboxylic acid,C5H11NO2COOH,147.2,10,63,7-May-24,1
400,N-[(4-Chlorophenyl)methoxy]-acetamide,C12H9ClNO2,179.2,12.5,74,7-May-24,1
