transaction_id,customer_id,flavour_id,quantity_liters,transaction_date,transaction_country,transaction_town,postal_code,amount_dollar,generation_date,batch_number
30,74,445,19000,11/15/23,CANADA,Toronto,NLZJ74,1061000,5/5/24,1
31,59,179,60000,7/7/24,JAPAN,Nagoya,QN6PK7,1245000,5/5/24,1
32,67,23,42000,5/18/23,GERMANY,Munich,ZCHYUH,960000,5/5/24,1
33,2,467,22000,9/25/23,ISRAEL,Jerusalem,D2VI5K,328000,5/5/24,1
34,29,413,79000,2/20/23,CHINA,Beijing,N4CS4K,344000,5/5/24,1
35,32,327,36000,5/10/23,BRAZIL,São Paulo,EYPDH3,1116000,5/5/24,1
36,35,445,51000,3/28/24,BRAZIL,Fortaleza,T90SZ6,1708000,5/5/24,1
37,31,468,94000,6/25/24,CHINA,Shenzhen,3K6KHH,836000,5/5/24,1
38,44,109,85000,10/3/24,GERMANY,Frankfurt,89RHZP,1337000,5/5/24,1
39,9,90,99000,4/17/23,GERMANY,Frankfurt,D8BFGD,1626000,5/5/24,1
40,75,448,58000,4/23/24,GERMANY,Hamburg,UJ5QYZ,1670000,5/5/24,1
41,11,493,59000,5/21/24,CANADA,Toronto,SNCJVZ,903000,5/5/24,1
42,52,49,20000,9/17/24,GERMANY,Düsseldorf,ZLRMZF,373000,5/5/24,1
43,15,123,78000,12/24/23,JAPAN,Kyoto,BA7JM2,319000,5/5/24,1
44,57,286,76000,5/14/23,JAPAN,Osaka,4ND872,31000,5/5/24,1
45,62,10,55000,3/8/24,JAPAN,Nagoya,3NPNB6,1669000,5/5/24,1
46,20,312,6000,3/23/23,INDIA,Hyderabad,FBPVBE,1618000,5/5/24,1
47,49,307,61000,7/17/23,BRAZIL,Fortaleza,QMEDLK,543000,5/5/24,1
48,15,203,18000,11/4/23,JAPAN,Osaka,8BQYJK,882000,5/5/24,1
49,13,154,52000,7/8/23,CANADA,Ottawa,9VQ18L,399000,5/5/24,1
50,66,106,17000,5/26/23,FRANCE,Paris,134P0Y,1921000,5/5/24,1
51,54,141,96000,5/9/23,SPAIN,Barcelona,SS7F45,695000,5/5/24,1
52,3,26,37000,1/12/24,CANADA,Montreal,KLQ0DA,341000,5/5/24,1
53,6,332,26000,3/18/24,INDIA,Hyderabad,I58VG9,1854000,5/5/24,1
54,7,291,66000,11/29/24,GERMANY,Berlin,7LU4LA,1709000,5/5/24,1
55,35,131,84000,2/27/23,FRANCE,Paris,B2ZQAH,1581000,5/5/24,1
56,73,148,74000,5/9/23,JAPAN,Osaka,7IHU99,1223000,5/5/24,1
57,6,123,61000,12/18/24,SPAIN,Madrid,4VI8PS,295000,5/5/24,1
58,11,59,68000,7/14/24,CHINA,Nanjing,HRYPSR,1385000,5/5/24,1
59,73,427,73000,2/19/24,CHINA,Beijing,V3UCPL,1698000,5/5/24,1
60,10,285,65000,9/21/23,CANADA,Calgary,SOFZ8N,1697000,5/5/24,1
61,59,194,39000,9/12/23,FRANCE,Nice,0YCR9D,808000,5/5/24,1
62,30,149,43000,2/3/24,CHINA,Shanghai,Y4HFBN,1188000,5/5/24,1
63,25,306,1000,1/17/24,ISRAEL,Haifa,YMDOBD,1009000,5/5/24,1
64,24,248,40000,4/23/23,INDIA,Chennai,TMUR36,952000,5/5/24,1
65,50,73,44000,9/4/23,FRANCE,Paris,QHA1QY,1816000,5/5/24,1
66,19,101,4000,5/19/23,JAPAN,Sapporo,0XC1X5,1559000,5/5/24,1
67,17,33,78000,1/21/24,INDIA,Chennai,FBPDV2,944000,5/5/24,1
68,3,114,56000,5/16/24,CANADA,Vancouver,VQ5YIH,408000,5/5/24,1
69,48,299,93000,3/9/23,BRAZIL,Porto Alegre,JIZQR9,1306000,5/5/24,1
70,39,354,47000,7/11/23,SPAIN,Málaga,NAVEHY,531000,5/5/24,1
71,72,468,54000,6/5/23,JAPAN,Sapporo,1CKQRY,140000,5/5/24,1
72,61,68,17000,12/8/24,CANADA,Calgary,L7FLQ9,1994000,5/5/24,1
73,28,226,71000,4/8/23,BRAZIL,São Paulo,Y5Q6QL,1241000,5/5/24,1
74,8,17,70000,10/18/24,ISRAEL,Tel Aviv,DJD7CH,1574000,5/5/24,1
75,74,294,57000,4/11/24,ISRAEL,Jerusalem,Z1EVYP,16000,5/5/24,1
76,13,438,69000,10/17/23,GERMANY,Frankfurt,4ZHAAA,93000,5/5/24,1
77,11,15,71000,3/26/24,SPAIN,Valencia,TVINMN,1163000,5/5/24,1
78,53,117,67000,2/21/24,GERMANY,Cologne,D3PE6L,102000,5/5/24,1
79,48,216,56000,12/19/24,FRANCE,Lyon,3D32KF,1294000,5/5/24,1
80,13,461,48000,8/22/24,BRAZIL,Belém,ZFG7ZH,1743000,5/5/24,1
81,36,312,27000,9/28/24,FRANCE,Nice,IOGC0C,1457000,5/5/24,1
82,63,438,17000,7/20/24,BRAZIL,Brasília,3DCL70,180000,5/5/24,1
83,73,31,58000,10/12/24,GERMANY,Hamburg,PV91F5,803000,5/5/24,1
84,62,271,39000,2/29/24,BRAZIL,Fortaleza,CPTF0O,499000,5/5/24,1
85,25,433,49000,9/22/24,GERMANY,Munich,U84PLV,1588000,5/5/24,1
86,69,442,80000,5/6/24,JAPAN,Nagoya,UTUQNT,1513000,5/5/24,1
87,61,450,61000,5/10/24,ISRAEL,Beer Sheva,UQL3YX,326000,5/5/24,1
88,36,314,12000,12/2/24,ISRAEL,Haifa,CNQEJG,1339000,5/5/24,1
89,30,64,90000,9/7/23,SPAIN,Valencia,R092QC,1496000,5/5/24,1
90,31,36,4000,11/22/23,CHINA,Shanghai,1YL6S4,666000,5/5/24,1
91,33,453,85000,5/9/24,CANADA,Montreal,5OM65R,119000,5/5/24,1
92,16,269,35000,7/15/24,CANADA,Edmonton,G3KL2E,1294000,5/5/24,1
93,59,150,62000,7/9/24,ISRAEL,Jerusalem,UY790M,315000,5/5/24,1
94,28,436,73000,10/14/24,JAPAN,Osaka,S2FKFR,1861000,5/5/24,1
95,17,233,14000,8/9/24,INDIA,Delhi,X72AYQ,1106000,5/5/24,1
96,48,3,70000,8/6/23,FRANCE,Strasbourg,VJP39N,817000,5/5/24,1
97,49,272,1000,10/5/24,CANADA,Ottawa,H5DOM3,389000,5/5/24,1
98,65,125,27000,10/10/24,CANADA,Toronto,QF8MGK,1764000,5/5/24,1
99,53,298,24000,1/28/24,INDIA,Chennai,BUNAU6,588000,5/5/24,1
100,36,82,32000,5/8/23,INDIA,Chennai,7JVGDP,657000,5/5/24,1
101,41,438,51000,10/26/23,FRANCE,Paris,MCA5MP,40000,5/5/24,1
102,23,164,82000,8/5/23,JAPAN,Kyoto,7PYTTS,360000,5/5/24,1
103,71,320,89000,3/27/23,GERMANY,Munich,1XKQLO,244000,5/5/24,1
104,53,410,67000,7/31/24,BRAZIL,Fortaleza,6AP53K,1430000,5/5/24,1
105,48,428,69000,7/9/23,CANADA,Calgary,MKKP60,671000,5/5/24,1
106,28,78,1000,9/24/23,JAPAN,Osaka,1IMZDZ,1935000,5/5/24,1
107,24,456,57000,10/8/23,SPAIN,Málaga,GLJI5P,386000,5/5/24,1
108,42,449,33000,6/13/24,SPAIN,Granada,6UJK0Y,800000,5/5/24,1
109,47,329,69000,1/22/24,JAPAN,Kyoto,ISBX5Y,1506000,5/5/24,1
110,41,342,42000,12/17/23,GERMANY,Hamburg,V3MJ4N,1789000,5/5/24,1
111,8,313,39000,12/27/24,GERMANY,Hamburg,QGOAA8,1018000,5/5/24,1
112,71,449,57000,11/5/23,JAPAN,Tokyo,GZYBM0,1964000,5/5/24,1
113,74,115,93000,11/2/23,CHINA,Beijing,OHK8HF,47000,5/5/24,1
114,17,142,59000,1/2/24,ISRAEL,Ramat Gan,7K1M2Y,1908000,5/5/24,1
115,60,395,81000,4/13/24,SPAIN,Valencia,KO8VLA,137000,5/5/24,1
116,8,461,1000,2/9/24,JAPAN,Nagoya,U9BZNI,1022000,5/5/24,1
117,34,11,70000,5/30/23,GERMANY,Cologne,N10XTZ,1361000,5/5/24,1
118,37,258,4000,2/21/24,CHINA,Chengdu,MRBUR1,1407000,5/5/24,1
119,67,256,67000,9/1/24,INDIA,Hyderabad,O864VR,1124000,5/5/24,1
120,55,377,99000,11/2/24,FRANCE,Strasbourg,GOB9V4,1639000,5/6/24,2
121,19,395,5000,4/15/24,CANADA,Calgary,H5JRQA,732000,5/5/24,1
122,25,353,50000,3/15/23,BRAZIL,Porto Alegre,DVR2GT,1889000,5/5/24,1
123,14,130,93000,1/10/24,JAPAN,Tokyo,1B1IAO,318000,5/5/24,1
124,20,250,21000,10/16/23,BRAZIL,Fortaleza,592RN0,847000,5/5/24,1
125,70,270,60000,5/31/23,ISRAEL,Jerusalem,QVQARN,1005000,5/5/24,1
126,53,448,37000,9/23/23,CANADA,Toronto,OFU577,1705000,5/5/24,1
127,15,379,92000,8/3/23,ISRAEL,Tel Aviv,JVIIR1,1137000,5/5/24,1
128,40,500,95000,10/31/23,FRANCE,Paris,EU8CTN,939000,5/6/24,2
129,40,23,84000,5/25/24,SPAIN,Seville,6I91GA,1725000,5/5/24,1
130,7,144,40000,6/2/24,CHINA,Shenzhen,HVUZRQ,352000,5/5/24,1
131,57,438,12000,8/13/23,SPAIN,Seville,6CVR6I,595000,5/5/24,1
132,25,8,40000,6/20/23,CANADA,Vancouver,SGDTI7,1767000,5/5/24,1
133,52,303,59000,8/8/23,GERMANY,Frankfurt,RL6S1Z,717000,5/5/24,1
134,32,129,11000,9/12/24,GERMANY,Düsseldorf,AV44MB,984000,5/5/24,1
135,43,392,54000,9/14/24,INDIA,Delhi,9KTE5P,1058000,5/5/24,1
136,6,487,57000,3/6/23,JAPAN,Fukuoka,VDE6MO,1130000,5/5/24,1
137,47,91,58000,10/16/23,BRAZIL,São Paulo,PE5L89,1609000,5/5/24,1
138,36,139,2000,7/1/24,GERMANY,Düsseldorf,9SX4K0,1597000,5/5/24,1
139,45,225,77000,11/13/24,INDIA,Delhi,4R5I6S,726000,5/5/24,1
140,24,301,60000,8/13/24,GERMANY,Düsseldorf,V73QP4,456000,5/5/24,1
141,31,40,54000,4/14/23,JAPAN,Sapporo,3DXRB2,72000,5/5/24,1
142,46,220,58000,1/18/24,SPAIN,Málaga,QGK3GO,310000,5/5/24,1
143,56,372,60000,8/12/23,CANADA,Ottawa,62Z89H,1892000,5/5/24,1
144,72,191,50000,10/22/23,ISRAEL,Tel Aviv,3DEJSG,730000,5/5/24,1
145,26,308,70000,8/20/24,INDIA,Delhi,TD60JV,1193000,5/5/24,1
146,70,229,2000,2/21/24,GERMANY,Düsseldorf,F3BZJE,1060000,5/5/24,1
147,30,391,41000,10/12/24,INDIA,Mumbai,YAS63O,392000,5/5/24,1
148,38,27,87000,2/6/24,GERMANY,Frankfurt,14U0G0,150000,5/5/24,1
149,64,230,1000,1/25/24,CHINA,Shanghai,P7QYQ4,38000,5/5/24,1
150,59,178,42000,8/12/23,CHINA,Shanghai,MMKFIH,896000,5/5/24,1
151,68,277,93000,1/10/24,JAPAN,Nagoya,B25N67,536000,5/5/24,1
152,40,375,68000,10/26/23,CANADA,Montreal,XM8IAI,1932000,5/6/24,2
153,43,178,31000,7/7/24,JAPAN,Kyoto,EZ212J,211000,5/5/24,1
154,75,321,14000,7/19/23,CANADA,Edmonton,J960VN,655000,5/5/24,1
155,66,11,18000,1/3/25,INDIA,Kolkata,C3653K,23000,5/5/24,1
156,10,470,99000,1/15/24,FRANCE,Bordeaux,QPG4EI,1925000,5/5/24,1
157,7,120,8000,7/15/23,INDIA,Hyderabad,MNPRZP,751000,5/5/24,1
158,14,71,70000,9/9/24,CHINA,Shanghai,YRLS6I,640000,5/5/24,1
159,58,400,47000,10/31/23,FRANCE,Marseille,5IRYN6,1790000,5/5/24,1
160,28,475,8000,11/22/23,FRANCE,Paris,J89U8D,165000,5/5/24,1
161,31,420,98000,5/14/24,CHINA,Guangzhou,UM8UXN,304000,5/5/24,1
162,37,156,14000,1/14/24,ISRAEL,Haifa,1UTN5C,1563000,5/5/24,1
163,8,53,44000,7/2/24,ISRAEL,Petah Tikva,HQJQ73,611000,5/5/24,1
164,3,220,31000,9/8/23,JAPAN,Sapporo,ROFGYP,761000,5/5/24,1
165,46,485,22000,9/18/24,SPAIN,Madrid,M5XJQQ,1145000,5/5/24,1
166,62,327,2000,6/17/23,SPAIN,Valencia,41CJ2S,162000,5/5/24,1
167,15,223,38000,11/11/24,ISRAEL,Tel Aviv,JLURSE,165000,5/5/24,1
168,72,457,31000,2/24/24,GERMANY,Hamburg,LBX87L,792000,5/5/24,1
169,67,216,13000,7/12/23,JAPAN,Osaka,FQHDZN,550000,5/5/24,1
170,46,392,5000,2/8/24,INDIA,Kolkata,ZLAMYO,563000,5/5/24,1
171,58,285,18000,10/8/23,ISRAEL,Haifa,2H9GLY,1468000,5/5/24,1
172,36,444,28000,6/30/23,FRANCE,Marseille,7KESF4,884000,5/5/24,1
173,44,140,14000,10/13/24,BRAZIL,Porto Alegre,AQTQTM,845000,5/5/24,1
174,32,102,28000,1/18/24,GERMANY,Düsseldorf,NRI24M,1474000,5/5/24,1
175,57,27,5000,9/25/23,CANADA,Edmonton,071IB7,460000,5/5/24,1
176,26,435,35000,12/17/24,FRANCE,Marseille,P54YZR,1800000,5/5/24,1
177,51,197,69000,12/10/23,FRANCE,Bordeaux,CMQ8TQ,62000,5/5/24,1
178,35,57,47000,5/23/23,ISRAEL,Haifa,71ETU5,1618000,5/5/24,1
179,59,294,53000,5/8/23,GERMANY,Hamburg,AFN4OU,81000,5/5/24,1
180,29,282,4000,1/24/24,INDIA,Hyderabad,2QFJ6V,1338000,5/5/24,1
181,70,391,84000,5/24/23,CANADA,Vancouver,MAHALX,1362000,5/5/24,1
182,67,445,26000,2/11/24,FRANCE,Paris,TG1C3J,1691000,5/5/24,1
183,17,378,85000,7/7/23,CHINA,Chengdu,760TDM,1570000,5/5/24,1
184,19,407,18000,9/16/23,JAPAN,Nagoya,SE9EIB,1882000,5/5/24,1
185,3,131,92000,8/16/23,GERMANY,Berlin,Q6X9UB,1854000,5/5/24,1
186,41,474,27000,5/23/24,JAPAN,Sapporo,OL5T18,276000,5/5/24,1
187,58,382,47000,9/15/23,GERMANY,Cologne,7K7FF2,753000,5/5/24,1
188,47,364,8000,5/1/23,GERMANY,Düsseldorf,H25S33,912000,5/5/24,1
189,8,374,47000,11/2/23,GERMANY,Düsseldorf,3B0K76,608000,5/5/24,1
190,56,267,89000,1/8/24,GERMANY,Cologne,GJK9SM,1337000,5/5/24,1
191,17,129,30000,7/11/23,SPAIN,Barcelona,8JODRQ,1624000,5/5/24,1
192,41,56,96000,3/30/23,BRAZIL,Porto Alegre,4D9LPZ,1264000,5/5/24,1
193,12,419,87000,5/4/24,ISRAEL,Tel Aviv,V4BEII,1855000,5/5/24,1
194,30,477,58000,6/27/23,SPAIN,Seville,KGFZC0,1604000,5/5/24,1
195,37,160,16000,11/22/24,JAPAN,Sapporo,L0CAB0,1869000,5/5/24,1
196,20,271,26000,11/23/23,BRAZIL,São Paulo,SE1C89,23000,5/5/24,1
197,43,168,23000,5/20/23,INDIA,Delhi,0UJA1N,174000,5/5/24,1
198,61,425,58000,10/12/23,JAPAN,Fukuoka,NDVZ4Q,1575000,5/5/24,1
199,23,493,24000,11/28/24,SPAIN,Málaga,1469FS,861000,5/5/24,1
200,41,190,12000,7/4/23,JAPAN,Sapporo,5FUU1A,1214000,5/5/24,1
201,12,261,80000,6/30/24,FRANCE,Paris,XVEHPI,151000,5/5/24,1
202,43,413,65000,6/30/24,CANADA,Edmonton,Q6VHNV,1631000,5/5/24,1
203,10,128,92000,7/13/23,FRANCE,Nice,BJCOVT,307000,5/5/24,1
204,59,93,95000,7/7/23,INDIA,Delhi,UG6AQM,1125000,5/5/24,1
205,69,198,52000,10/1/23,ISRAEL,Petah Tikva,TQZ009,851000,5/5/24,1
206,25,240,60000,12/25/24,CHINA,Chengdu,2QN5XL,1521000,5/5/24,1
207,58,105,18000,2/21/23,CHINA,Chengdu,FN81QH,49000,5/5/24,1
208,2,182,79000,11/15/24,ISRAEL,Ramat Gan,37VCOE,7000,5/5/24,1
209,42,12,67000,3/6/24,GERMANY,Munich,R26ZMH,1103000,5/5/24,1
210,14,98,34000,8/6/24,FRANCE,Lyon,1TIS8N,350000,5/5/24,1
211,44,496,10000,7/29/23,INDIA,Chennai,0T5YB7,1715000,5/5/24,1
212,64,387,17000,12/16/24,SPAIN,Madrid,ZINI22,1835000,5/5/24,1
213,60,393,64000,6/13/23,CHINA,Guangzhou,785P0V,1799000,5/5/24,1
214,69,301,87000,5/2/24,GERMANY,Hamburg,VFP0JN,1666000,5/5/24,1
215,12,265,88000,6/6/23,BRAZIL,Brasília,ROYJXI,1970000,5/5/24,1
216,13,356,11000,9/29/23,FRANCE,Marseille,R49QI7,1792000,5/5/24,1
217,52,121,52000,3/15/23,CANADA,Edmonton,024GYA,1597000,5/5/24,1
218,59,28,2000,10/5/23,JAPAN,Tokyo,JR0HUI,1647000,5/5/24,1
219,22,113,9000,12/21/24,FRANCE,Marseille,E1TKCG,1581000,5/5/24,1
220,25,471,97000,10/21/23,INDIA,Chennai,EF3TAP,687000,5/5/24,1
221,4,98,48000,12/15/24,FRANCE,Strasbourg,2VAOCL,1585000,5/5/24,1
222,40,247,29000,6/24/23,BRAZIL,Rio de Janeiro,DRJUY2,517000,5/5/24,1
223,18,404,70000,4/10/23,FRANCE,Strasbourg,Q0HOKF,656000,5/5/24,1
224,22,416,80000,3/16/24,INDIA,Mumbai,ZDXS0X,923000,5/5/24,1
225,26,390,46000,8/11/23,SPAIN,Málaga,1IJZF2,1178000,5/5/24,1
226,10,433,83000,9/19/24,CANADA,Ottawa,TQ25M3,1164000,5/5/24,1
227,50,233,89000,11/18/24,GERMANY,Munich,BFDJBA,1648000,5/5/24,1
228,59,71,53000,5/5/23,BRAZIL,São Paulo,CKOE72,1395000,5/5/24,1
229,12,456,87000,3/6/24,CHINA,Nanjing,D4RUT0,921000,5/5/24,1
230,75,479,16000,10/7/24,INDIA,Kolkata,L37E82,1831000,5/5/24,1
231,16,18,22000,5/15/23,BRAZIL,Brasília,VB4SCE,316000,5/5/24,1
232,57,141,5000,2/18/24,FRANCE,Paris,CHB4NG,1420000,5/5/24,1
233,49,436,48000,6/30/24,ISRAEL,Beer Sheva,MB9P0K,460000,5/5/24,1
234,56,490,95000,12/27/23,CHINA,Shanghai,P8ZHGH,1777000,5/5/24,1
235,10,298,42000,10/10/23,CANADA,Calgary,XPB8YM,300000,5/5/24,1
236,56,484,97000,9/16/23,SPAIN,Granada,8M1YET,874000,5/5/24,1
237,66,476,21000,6/30/23,FRANCE,Nice,RB246C,87000,5/5/24,1
238,49,162,61000,4/19/24,CHINA,Guangzhou,DGK9NE,178000,5/5/24,1
239,47,270,0,4/22/23,CHINA,Shanghai,NYHRAA,99000,5/5/24,1
240,7,382,63000,1/24/24,CANADA,Calgary,NY13A2,775000,5/5/24,1
241,10,204,31000,3/22/23,FRANCE,Bordeaux,A5YUFK,1036000,5/5/24,1
242,62,310,90000,2/24/23,SPAIN,Málaga,06C8N6,362000,5/5/24,1
243,20,245,99000,11/15/23,CANADA,Vancouver,MXG24C,1184000,5/5/24,1
244,6,107,21000,1/12/25,FRANCE,Nice,4US937,409000,5/5/24,1
245,48,75,68000,1/17/24,FRANCE,Strasbourg,A7XYZE,690000,5/5/24,1
246,7,401,93000,10/19/23,GERMANY,Berlin,XEUD8Z,1490000,5/5/24,1
247,69,276,5000,6/25/24,INDIA,Chennai,H60715,359000,5/5/24,1
248,6,116,68000,9/3/23,INDIA,Delhi,RMY2YX,415000,5/5/24,1
249,12,136,2000,6/30/24,BRAZIL,Fortaleza,KQIR6X,256000,5/5/24,1
250,59,461,43000,1/14/25,CANADA,Vancouver,VYLN30,961000,5/5/24,1
251,27,203,92000,12/23/23,FRANCE,Bordeaux,77XZQJ,507000,5/5/24,1
252,9,109,41000,10/31/23,INDIA,Hyderabad,S5EC7I,1939000,5/5/24,1
253,66,23,65000,3/4/24,CHINA,Shenzhen,1OMFU4,1266000,5/5/24,1
254,61,159,36000,11/4/23,FRANCE,Nice,QY6H7O,1172000,5/5/24,1
255,24,246,10000,8/16/23,FRANCE,Lyon,ULCUE8,1078000,5/5/24,1
256,19,369,99000,5/22/23,ISRAEL,Petah Tikva,PM19UY,1735000,5/5/24,1
257,12,142,71000,7/14/24,CANADA,Calgary,P1TZ1X,1120000,5/5/24,1
258,57,173,78000,4/19/23,CANADA,Vancouver,VN4URM,115000,5/5/24,1
259,50,166,31000,11/19/23,FRANCE,Strasbourg,0PZO8H,1581000,5/5/24,1
260,20,442,99000,8/7/23,BRAZIL,São Paulo,HGS9K0,699000,5/5/24,1
261,19,410,14000,7/31/23,SPAIN,Barcelona,4GVN5G,1165000,5/5/24,1
262,35,13,3000,1/2/25,INDIA,Hyderabad,8673KI,961000,5/5/24,1
263,18,103,36000,9/9/23,INDIA,Bangalore,AED19O,288000,5/5/24,1
264,40,274,46000,4/10/23,INDIA,Hyderabad,ER5JC5,452000,5/5/24,1
265,33,231,24000,2/24/24,BRAZIL,Belém,NSP7BF,4000,5/5/24,1
266,73,252,50000,1/24/24,SPAIN,Valencia,KR90RJ,570000,5/5/24,1
267,14,308,73000,8/27/24,INDIA,Hyderabad,16SXAG,166000,5/5/24,1
268,64,1,32000,9/29/23,INDIA,Kolkata,X2R6AY,1540000,5/5/24,1
269,64,192,28000,4/4/23,GERMANY,Munich,R5E1UB,1436000,5/5/24,1
270,9,128,28000,5/1/24,ISRAEL,Petah Tikva,L0N4TU,1334000,5/5/24,1
271,68,390,7000,12/24/24,ISRAEL,Ramat Gan,AE00H8,1348000,5/5/24,1
272,71,461,14000,3/12/23,ISRAEL,Tel Aviv,7S8TXH,440000,5/5/24,1
273,37,313,74000,2/21/23,SPAIN,Barcelona,62PTAR,1924000,5/5/24,1
274,48,34,80000,9/30/23,SPAIN,Madrid,9BT9M0,260000,5/5/24,1
275,73,21,25000,11/28/23,GERMANY,Munich,0HIRFP,1109000,5/5/24,1
276,71,88,14000,2/16/24,JAPAN,Osaka,S30OOK,1747000,5/5/24,1
277,4,63,90000,8/12/24,CANADA,Edmonton,E5AYSR,1334000,5/5/24,1
278,62,38,86000,10/16/24,ISRAEL,Tel Aviv,6GSN41,1358000,5/5/24,1
279,33,202,73000,7/30/23,GERMANY,Munich,UO6R8H,1186000,5/5/24,1
280,49,279,92000,1/16/24,JAPAN,Osaka,5PDMU8,1079000,5/5/24,1
281,70,497,38000,3/1/24,BRAZIL,Porto Alegre,D4J5G9,1654000,5/5/24,1
282,9,454,25000,5/21/24,GERMANY,Berlin,BQJOGN,1754000,5/5/24,1
283,38,304,99000,7/23/23,ISRAEL,Haifa,JIG0O3,1802000,5/5/24,1
284,26,286,57000,10/4/24,INDIA,Mumbai,Z92RFV,907000,5/5/24,1
285,44,57,83000,11/11/24,INDIA,Chennai,J8S9TJ,1234000,5/5/24,1
286,13,500,75000,10/20/24,BRAZIL,Brasília,UOZMGE,37000,5/5/24,1
287,39,456,39000,11/30/24,INDIA,Kolkata,HHSA5J,73000,5/5/24,1
288,68,445,31000,3/29/23,SPAIN,Valencia,SI6HH7,1204000,5/5/24,1
289,9,388,8000,2/1/24,GERMANY,Munich,UZ1YVE,226000,5/5/24,1
290,18,478,11000,10/27/23,BRAZIL,São Paulo,8KKDXA,200000,5/5/24,1
291,58,338,78000,2/14/24,CANADA,Montreal,0VUXNC,292000,5/5/24,1
292,3,310,77000,3/17/24,BRAZIL,Brasília,IPJ604,1903000,5/5/24,1
293,21,252,36000,11/21/24,FRANCE,Nice,PPCT79,1336000,5/5/24,1
294,35,491,76000,7/7/23,ISRAEL,Beer Sheva,AL8QZO,902000,5/5/24,1
295,8,470,0,11/5/23,FRANCE,Lyon,MY4SUZ,873000,5/5/24,1
296,25,469,90000,8/13/24,CANADA,Edmonton,67QVAN,660000,5/5/24,1
297,45,184,74000,4/4/24,FRANCE,Paris,1VVLF8,960000,5/5/24,1
298,60,373,95000,1/8/24,ISRAEL,Beer Sheva,DT26OC,1018000,5/5/24,1
299,39,408,57000,7/29/23,CANADA,Montreal,M0PFO8,210000,5/5/24,1
300,38,104,69000,5/25/23,SPAIN,Málaga,I0X1SZ,1507000,5/5/24,1
301,66,160,34000,1/12/24,BRAZIL,Porto Alegre,4GEPH2,880000,5/5/24,1
302,23,34,29000,4/22/24,SPAIN,Málaga,VZSSSN,28000,5/5/24,1
303,35,261,70000,6/19/24,BRAZIL,Brasília,M9BH2F,1330000,5/5/24,1
304,40,226,45000,5/9/23,FRANCE,Strasbourg,OOZXVG,649000,5/5/24,1
305,14,207,96000,5/3/24,GERMANY,Munich,LLQ1G9,1639000,5/5/24,1
306,56,75,95000,11/20/24,INDIA,Chennai,ZPIYN7,236000,5/5/24,1
